Account Name,Account ID,Campaign Name,Campaign ID,Campaign Status,Campaign Bid,Campaign Bidding Strategy,Campaign Start Date,Conversion Goal,Ad ID,Ad Title,Ad Description,Day,Ad Status,Country,Site,Site URL,Site ID,Currency,Inventory Type,Country Code,Campaign Budget Type,Spending Limit,Campaign Budget,Spending Limit Type,Actual CPA,Actual CPC,Clicks,Conversion Rate,Conversions,Conversions Value,CPM,CTR,Impressions,ROAS,Served Ads,Spent
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,AOL - Mail,mail.aol.com,1559512,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,842,0.00%,842,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,AOL - UK,aol.co.uk,1565072,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,1,0.00%,3,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,AOL - Web,www.aol.com,1559511,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,4,0.00%,18,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,ATAIME MEDIA,https://trictrac.tv/,1987703,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,0,0.00%,15,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,Abema Times,times.abema.tv/,1943985,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,0,0.00%,1,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,Absolute Sports Pvt Ltd. Network - Sportskeeda International,https://www.sportskeeda.com/,1572231,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,0,0.00%,5,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,Actu.fr - Actu.fr,actu.fr,1175239,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,66,0.00%,340,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,Actu.fr - Channel,https://headerbidding.actu.fr,1902653,HKD,Web,FR,Daily,,100.00,None,,0.325,1,0.00%,0,0.00,18.08,5.56%,18,0.00%,27,0.33
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,Actu17 - ACTU17.FR,actu17.fr,1081211,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,5,0.00%,21,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,AdHoc News,ad-hoc-news.de,1450427,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,2,0.00%,7,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,AdMaven - Start Network - Abovethecityon,abovethecityon.com,1922351,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,0,0.00%,11,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,AdMaven - Start Network - Ahegazedatthewond,ahegazedatthewond.org,1895985,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,2,0.00%,10,0.00
